"","CaseID","god_open","rel_groups","god_y","pct_believe","pct_nonbelieve","church","pray","gender_ident","sex_or","social_cons","econ_cons","vote2016","candidate2016","stem","age","educ","female","sbs_m","sbs_sd","crt","crtZ","pt_m","pt_sd","cred_m","cred_sd","mot_m","mot_sd","tfa_m","tfa_sd","eXtra_m","eXtra_sd","Consc_m","Consc_sd","Neuro_m","Neuro_sd","Agree_m","Agree_sd","Open_m","Open_sd","Hum_m","Hum_sd"
"1519",1697,"I believe there is a higher power","none",1,75,25,2,6,"female",NA,3,4,1,"clinton",1,48,10,1,0.116543319471025,-0.59731558515439,1,-0.820317486721556,0.640469415770123,-1.05039694022622,-0.845442157676401,0.59580626019957,0.513650867466888,-0.879073113735244,0.485813040353664,0.0196709849333133,-1.05789952498645,-0.656157913738697,0.551225912222421,-0.694948006226479,-0.253522435550801,0.542775408996944,0.0389500483882616,0.0522738339502235,-1.92006524957961,-0.669457453849157,0.394255042046787,0.760501713613999
"1520",1698,"There is a God.","Catholic",1,80,20,7,5,"female",NA,4,5,1,"trump",0,57,13,1,0.48397410359421,-0.227728677095192,4,0.306757379488313,1.18938650026305,-1.05039694022622,0.177762146180041,-0.0516076553666977,-1.52191493660717,-1.49199553415039,NA,NA,0.944853923571795,-0.794542754918982,-0.221864252309125,-0.821146228097169,-0.485195240142947,-1.5877045126027,0.310223365193379,-0.505680438005696,-0.19045217791494,-0.537992927670522,-0.0477691892625349,0.383761644832993
"1522",1700,"I am Christian so I believe in the trinity, Father, Son and Holy Ghost.  God is real","Christian, Protestant",1,70,30,2,5,"male",NA,5,6,0,"NA",0,32,6,0,1.09635874379952,-0.719631481076942,3,-0.0689342425816433,-0.823309476211005,-0.291954477218709,0.177762146180041,1.70101094569728,-0.334501550897301,-1.73330035170981,-0.622577917667233,0.155434393465467,-0.167786881182787,-0.656157913738697,0.293529190711906,-0.821146228097169,-0.94854084932724,-0.610173283182143,-1.31741653563732,0.30072135038952,-0.931714922914084,0.107985709729587,-0.0477691892625349,-0.0852318510803894
"1523",1701,"There is a god","None",1,75,25,2,7,"female",NA,3,4,1,"non",0,64,9,1,0.667689495655802,-0.736462678427145,5,0.682449001558269,-0.640337114713365,-0.556822867808968,-0.845442157676401,-0.187789997101505,0.513650867466888,0.0773640156477791,-0.253114264993601,-2.00099752257268,0.277269440719046,-1.68907643030304,-1.25265113835119,-0.821146228097169,0.673168782817784,-0.741137634931864,-1.31741653563732,-0.505680438005696,-0.684627341247703,-0.131539829453846,-0.710805536226518,-1.57761794768281
"1524",1704,"Yes","None",1,70,30,1,3,"female",NA,2,2,1,"clinton",0,56,11,1,-0.31212592867269,0.649252881075606,3,-0.0689342425816433,-0.823309476211005,-0.291954477218709,-0.504374056390921,0.772911884329506,0.344020383794051,-0.432733175185095,0.485813040353664,-0.218935404919043,0.722325762620879,-0.656157913738697,0.808922633732936,-0.821146228097169,-1.18021365391939,-0.741137634931864,0.0389500483882616,-1.38713430761848,0.303722985417822,-0.131539829453846,0.173242926392126,-0.304906808183653
"1525",1705,"There isn't any","None",0,60,40,1,1,"male",NA,1,2,1,"clinton",0,29,11,0,-2.39423370537074,-1.41802352659058,8,1.80952386776814,0.0915523312771992,0.528492828122755,-1.52757836024736,-0.509398425298141,0.174389900121212,-1.06896254888285,-0.376268815884812,0.76933062201159,-0.612843203084619,0.841046881152138,-0.221864252309125,0.416041915207983,-0.253522435550801,0.542775408996944,0.0389500483882616,-1.38713430761848,-0.19045217791494,-0.537992927670522,1.27830350466543,-0.798244727250543
"1527",1708,"","evangelical",1,75,25,8,5,"female",NA,4,4,1,"clinton",0,38,14,1,1.09635874379952,-0.0464087780243106,4,0.306757379488313,0.457497054272482,0.288686047865413,1.7125686019647,-0.509398425298141,0.344020383794051,-0.953594671943097,0.732122142136086,-0.901084904194695,0.0547412797681295,0.0238251489241735,-0.221864252309125,0.416041915207983,-0.716868044735094,-0.741137634931864,0.852769998803613,-0.505680438005696,-0.437539759581321,0.107985709729587,-0.710805536226518,-1.57761794768281
"1528",1709,"creo e un solo Dios","iglesia catolica",1,80,20,7,5,"male",NA,3,4,1,"clinton",0,61,7,0,0.48397410359421,-0.442176899816687,2,-0.444625864651599,0.0915523312771992,1.64577964003229,0.00722809553729986,-0.0516076553666977,0.174389900121212,-0.0657425099147587,-0.253114264993601,0.128974104057981,0.0547412797681295,0.0238251489241735,-0.221864252309125,0.416041915207983,0.209823173633492,0.0333476418187074,-0.503596585221973,0.375773431607088,-0.684627341247703,-0.131539829453846,-0.931817651881178,0.383761644832993
"1530",1711,"I believe in God.. I am a christian","Evangelical, pentecostal church",1,80,20,8,7,"female",NA,7,7,1,"clinton",0,66,2,1,1.28007413586111,-1.41802352659058,0,-1.19600910879151,2.47019303074653,-0.556822867808968,-1.6981124108901,-1.61460311079585,-1.35228445293433,0.800089751131239,2.57944040550425,2.61257543332936,NA,NA,2.09740624128551,-1.63690435791901,-2.10690487228797,-0.741137634931864,0.581496681998496,3.90158891005822,-0.684627341247703,2.86909110949563,-1.3738418831905,2.89954034212446
"1531",1712,"no god(a), but shared humanity of spirit","loosely Unitarian",0,85,15,2,2,"female",NA,2,2,1,"clinton",0,75,11,1,-1.23070288898065,0.785221405975881,4,0.306757379488313,-0.457364753215723,-0.151671413473385,0.177762146180041,0.686063905455394,-0.843393001915816,0.105382532160072,-0.00680516321117864,-0.136004939961976,-1.05789952498645,0.0999909204650784,-1.5103478598617,0.469374076303181,-0.0218496309586545,0.105429242738975,0.310223365193379,-0.505680438005696,-0.437539759581321,-0.669457453849157,-0.489793420571857,0.383761644832993
"1532",1713,"","none",0,75,25,1,1,"male",NA,3,4,1,"clinton",0,41,10,0,-2.27175677732968,-0.808416971672239,0,-1.19600910879151,-1.55519892220157,-0.151671413473385,-1.6981124108901,-1.61460311079585,0.683281351139727,-1.44650058754173,-0.745732468558444,-0.0181018505268435,-0.612843203084619,-1.68907643030304,-0.47956097381964,1.18896469715857,0.904841587409931,0.105429242738975,-2.13123648605268,-1.38713430761848,-0.684627341247703,-0.131539829453846,-0.489793420571857,-0.798244727250543
