"","CaseID","god_open","rel_groups","god_y","pct_believe","pct_nonbelieve","church","pray","gender_ident","sex_or","social_cons","econ_cons","vote2016","candidate2016","stem","age","educ","female","sbs_m","sbs_sd","crt","crtZ","pt_m","pt_sd","cred_m","cred_sd","mot_m","mot_sd","tfa_m","tfa_sd","eXtra_m","eXtra_sd","Consc_m","Consc_sd","Neuro_m","Neuro_sd","Agree_m","Agree_sd","Open_m","Open_sd","Hum_m","Hum_sd"
"1",3,"I grew up believe but science us fact","Atheist",0,50,50,4,1,"female",NA,5,5,0,"NA",0,27,9,1,-1.53689520908331,-0.198810416753896,0,-1.19600910879151,-1.73817128369921,-0.151671413473385,0.00722809553729986,0.686063905455394,1.36180328583108,-0.53059168751239,0.362658489462454,-0.507483855955016,-0.390315042133703,0.994524595849139,-0.737257695330156,0.416041915207983,1.36818719659422,-0.205266590312902,-0.232323268416855,0.831142618349937,-0.19045217791494,-0.537992927670522,-0.0477691892625349,2.89954034212446
"2",4,"I believe it's all a mental) physcoligical thing.","I was baptised Catholic. Raised Christian",0,80,20,2,NA,"female",NA,3,3,1,"third",0,35,10,1,-0.863272104857468,1.49360569309452,0,-1.19600910879151,1.37235886176069,-0.678132638194292,-1.6981124108901,-1.61460311079585,3.39736908990514,0.105382532160072,1.22474034570093,2.56728267889894,1.16738208452271,0.841046881152138,1.839709519775,-0.821146228097169,-0.716868044735094,1.30387185925904,-0.503596585221973,1.66631146577659,1.53916089374973,0.107985709729587,-1.81586611449982,1.87867748658835
"3",5,"There is one God.","Catholic",1,60,40,7,5,"female",NA,3,5,1,"third",0,71,12,1,0.055304855450494,-0.237525509121772,4,0.306757379488313,NA,NA,-0.845442157676401,-0.187789997101505,-0.673762518242978,-1.06896254888285,-0.12995971410239,-1.35611658761408,0.499797601669962,-0.794542754918982,0.0358324692013903,0.6704080637013,-0.0218496309586545,0.598121766510611,0.581496681998496,-0.369319049820124,0.550810567084204,-0.669457453849157,-0.931817651881178,-0.798244727250543
"4",6,"No","None",0,50,50,2,1,"male",NA,2,2,1,"clinton",0,24,13,0,-1.41441828104224,0.410796138164446,6,1.05814062362823,-1.00628183770865,-1.94912246697906,-1.6981124108901,-1.61460311079585,0.00475941644837506,-1.94694964818465,-0.622577917667233,1.44995092921715,-0.390315042133703,0.562117285004919,-1.5103478598617,0.469374076303181,0.441495978225638,0.367357946238417,0.581496681998496,0.375773431607088,1.04498573041697,-0.669457453849157,-0.931817651881178,0.383761644832993
"6",8,"","methodist",1,80,20,6,5,"female",NA,4,4,1,"trump",0,67,14,1,0.055304855450494,-0.237525509121772,5,0.682449001558269,-0.274392391718083,-0.499971098647707,-0.333840005748181,1.51138780006246,-0.673762518242978,-1.73330035170981,-0.253114264993601,-0.0958929836558958,-0.167786881182787,-0.656157913738697,-0.47956097381964,-0.00538809827533266,-0.94854084932724,-0.610173283182143,-0.77486990202709,-0.505680438005696,0.550810567084204,0.107985709729587,-0.931817651881178,0.760501713613999
"7",9,"I believe there is a supreme being.","Presbyterian",1,65,35,7,6,"male",NA,4,6,1,"trump",0,69,14,0,0.48397410359421,0.258394499434861,7,1.43383224569818,-0.0914200302204411,-0.197183890641057,0.177762146180041,-0.0516076553666977,-1.86117590395284,-0.842477873083562,0.855276693027297,0.714194199324495,-1.50295584688828,-0.228309055351447,0.0358324692013903,0.6704080637013,-1.41188645851153,0.367357946238417,0.310223365193379,-0.505680438005696,0.550810567084204,-0.669457453849157,1.27830350466543,-0.0852318510803894
"8",10,"I believe that there is a God somewhere around us but am never sure where or how--I just want to believe","jewish",1,60,40,2,2,"female",NA,2,2,1,"clinton",0,66,12,1,-1.16946442496012,1.55283133442771,0,-1.19600910879151,-1.37222656070393,0.806317821052846,-1.18651025896188,-0.0516076553666977,1.0225423184854,2.1016776794802,-1.48465977390571,1.66766864100048,0.944853923571795,3.01609133861082,1.839709519775,-0.821146228097169,0.673168782817784,2.41301446656203,1.12404331560873,0.0522738339502235,-0.931714922914084,0.107985709729587,-0.489793420571857,1.37304144298789
"9",11,"Idk","None",1,85,15,1,3,"female",NA,4,4,-1,"NA",0,29,9,1,-0.557079784754814,-1.41802352659058,0,-1.19600910879151,-1.00628183770865,-1.94912246697906,-0.504374056390921,-1.61460311079585,0.00475941644837506,-1.94694964818465,-0.376268815884812,-0.229574676828596,0.499797601669962,0.0238251489241735,-1.5103478598617,-0.694948006226479,0.209823173633492,0.0333476418187074,-1.04614321883221,-1.38713430761848,-0.437539759581321,0.107985709729587,-1.15282976753584,-0.677675270451299
"11",13,"I believe in the Triune God, Father, Son, and Holy Spirit. maker of the universe, redeemer of all who believe, and giver of faith.","Lutheran",1,60,40,7,5,"female",NA,5,4,1,"third",0,67,13,1,0.667689495655802,-0.0549018302637086,6,1.05814062362823,0.0915523312771992,-0.291954477218709,1.03043239939374,-0.187789997101505,-0.50413203457014,-0.770542373861631,-0.376268815884812,0.224457610770774,0.944853923571795,0.0238251489241735,0.293529190711906,-0.821146228097169,-0.94854084932724,-0.610173283182143,1.66658994921896,-0.369319049820124,1.04498573041697,-0.669457453849157,1.05729138901077,-1.57761794768281
"12",14,"It is a complete creation of men trying to explain the unknown.","None.",0,75,25,1,NA,"male",NA,2,5,1,"clinton",0,61,10,0,-1.59813367310384,0.632330825035212,1,-0.820317486721556,0.457497054272482,0.288686047865413,-0.16330595510544,-0.187789997101505,-1.18265396926149,0.727974472094126,0.485813040353664,-0.218935404919043,0.722325762620879,0.0999909204650784,0.808922633732936,-0.074846464190925,-1.18021365391939,0.0333476418187074,0.310223365193379,0.30072135038952,0.0566354037514411,0.619359065452468,0.394255042046787,1.08444839167614
"13",15,"I do not believe","I consider myself an atheist but not officially ""affiliated""",0,70,30,1,1,"female",NA,2,2,-1,"NA",0,64,10,1,-2.14927984928861,0.410796138164446,0,-1.19600910879151,0.274524692774841,0.655631572939524,-1.18651025896188,-0.0516076553666977,0.00475941644837506,0.242681614237603,-0.12995971410239,1.36116566990877,-0.835371364035536,1.36633774641474,0.0358324692013903,1.62612816136834,0.904841587409931,1.34488917565898,0.310223365193379,-0.505680438005696,-0.19045217791494,0.674916799820921,1.94133985162941,-1.57761794768281
"14",16,"There is positive and negative energy that rules the planets.  But I think Jesus and the Bible are mostly fictional","Raised catholic",0,80,20,4,2,"female",NA,2,2,1,"clinton",0,43,12,1,-1.23070288898065,1.42907404130635,1,-0.820317486721556,-0.823309476211005,1.13810110036402,0.00722809553729986,1.70101094569728,1.19217280215824,2.86027462677023,0.732122142136086,2.07758762560343,2.50255105022821,-0.656157913738697,-0.737257695330156,0.416041915207983,2.06320561037066,0.951996120409814,-1.31741653563732,0.30072135038952,1.04498573041697,-0.669457453849157,-1.15282976753584,1.40715424552203
"16",18,"I believe that there is a higher power than myself or others.  I do believe in the creation of the universe by a higher power.  I do believe that man/woman is created in the image of God.  I don't believe that there are multiple Gods in a single religion.  Different religions can have their own image of what God is for those believing in that religion.","Methodist",1,60,40,4,2,"female",NA,4,6,1,"trump",0,61,12,1,-0.0671720725905677,-0.503613694213067,0,-1.19600910879151,0.640469415770123,-1.05039694022622,0.348296196822781,1.6390313860911,-0.673762518242978,0.349380649666893,-1.60781432479692,0.600417900351039,1.16738208452271,1.57729871940265,1.58201279826448,-0.694948006226479,-0.716868044735094,0.0333476418187074,1.39531663241385,-0.505680438005696,0.303722985417822,-0.131539829453846,-0.268781304917196,-0.0188715068182718
"17",19,"probably not","Unitarian Universalist",0,80,20,4,2,"male",NA,2,5,1,"third",0,58,10,0,-1.78184906516543,-1.41802352659058,2,-0.444625864651599,-0.457364753215723,-0.499971098647707,-0.16330595510544,-0.187789997101505,-1.01302348558865,-1.23032965401641,-0.868887019449655,-0.507483855955016,0.499797601669962,-0.794542754918982,-0.47956097381964,0.469374076303181,0.673168782817784,0.0333476418187074,-1.31741653563732,0.831142618349937,-1.17880250458047,0.180342602155473,-0.0477691892625349,-0.798244727250543
"18",20,"No.","None",0,80,20,1,1,"male",NA,1,1,1,"clinton",0,59,11,0,-1.16946442496012,2.12347052581585,0,-1.19600910879151,1.0064141387654,0.394466979270586,-1.35704430960462,-0.187789997101505,0.852911834812564,0.504662608597454,-0.00680516321117864,0.299634778620539,-0.167786881182787,1.40967911938999,0.0358324692013903,-0.304776910191954,1.83153280577852,-0.610173283182143,-1.31741653563732,0.30072135038952,1.53916089374973,0.107985709729587,-0.268781304917196,1.12221008401173
"19",21,"I am a non-believer.","none",0,40,60,1,1,"male",NA,3,4,1,"third",0,72,7,0,-2.39423370537074,-1.41802352659058,3,-0.0689342425816433,0.0915523312771992,-0.678132638194292,1.37150050067922,0.686063905455394,NA,NA,1.10158579480972,-0.507483855955016,1.61243840642454,1.40967911938999,0.808922633732936,-0.821146228097169,-2.33857767688012,-1.5877045126027,0.0389500483882616,0.0522738339502235,1.04498573041697,0.107985709729587,1.49931562032009,-0.677675270451299
"20",23,"I believe in the Christian God","I consider myself Christian, but do not align myself with any particular sect",1,70,30,7,7,"male",NA,2,2,1,"clinton",1,29,12,0,0.790166423696863,1.29112726250152,9,2.18521548983809,1.92127594625361,-1.05039694022622,0.348296196822781,2.0509461475428,0.344020383794051,2.34064349917127,2.0868222019394,0.928520160378911,-1.7254840078392,-0.794542754918982,0.293529190711906,-0.074846464190925,-1.18021365391939,0.542775408996944,-1.31741653563732,1.25722730121987,-0.931714922914084,0.107985709729587,0.615267157701448,-0.0188715068182718
"21",24,"Logically, the proverbial man in a white robe and beard is ridiculous.  There would be no reason to think a more advanced being would be similar to a human.  In a hierarchy of beings, the greatest of which being a god or gods, we would not have the capacity to understand it / them. There are scientific bases for most occurrences in the universe and I believe more discoveries will explain that which seems beyond us now.","As a non-denominational wedding officiant, I am affiliated with the Universal Life Church and the Universal Brotherhood group.  The ordinations I have through them allow me to continue doing my work.",0,90,10,3,2,"male",NA,2,2,1,"clinton",1,60,12,0,-2.02680292124755,0.410796138164446,9,2.18521548983809,0.0915523312771992,0.528492828122755,1.20096645003648,-0.0516076553666977,1.0225423184854,-0.368970746117903,-0.622577917667233,1.17616057308607,0.499797601669962,0.0238251489241735,-0.994954416840671,0.6704080637013,1.83153280577852,0.105429242738975,1.66658994921896,-0.369319049820124,1.78624847541611,-0.537992927670522,1.05729138901077,0.626782409288613
"22",25,"I believe in God always have seen the day I was born I thank my parents.","Catholic",1,50,50,5,7,"male",NA,1,4,1,"clinton",1,37,9,0,0.973881815758456,-0.189322233889583,0,-1.19600910879151,-0.823309476211005,0.949180269683643,-1.6981124108901,-1.61460311079585,3.2277386062323,-0.337509078326443,-1.11519612123208,-0.507483855955016,0.944853923571795,0.0238251489241735,0.293529190711906,0.810370031546504,0.441495978225638,-0.205266590312902,-1.04614321883221,1.83148014429578,-0.19045217791494,-0.537992927670522,-2.69991457711847,-0.0852318510803894
"23",27,"i agree","baptist",1,75,25,4,5,"male",NA,2,2,1,"trump",0,51,9,0,0.055304855450494,-1.41802352659058,7,1.43383224569818,-1.00628183770865,-0.445267020859299,-0.16330595510544,-0.187789997101505,-0.334501550897301,-0.0657425099147587,0.608967591244875,-0.850681371976069,-0.390315042133703,-0.794542754918982,0.0358324692013903,-1.63690435791901,0.904841587409931,0.598121766510611,-0.77486990202709,0.30072135038952,-0.19045217791494,-0.537992927670522,-0.489793420571857,-0.798244727250543
"24",28,"Someone or something bigger than me I do not understand or see makes the universe and everything we encounter in our lives, both good and bad.","United Methodist",1,80,20,2,4,"male",NA,1,2,1,"clinton",0,52,12,0,0.851404887717394,0.391645666309685,2,-0.444625864651599,-0.274392391718083,1.55475468569694,1.54203455132196,-0.187789997101505,0.683281351139727,1.83333821425136,1.71735854926577,2.39865295093925,0.277269440719046,-0.228309055351447,1.06661935524345,0.6704080637013,2.52655121955496,-0.741137634931864,-0.503596585221973,1.66631146577659,2.28042363874887,-1.51925750985379,-0.710805536226518,1.53987493404627
"25",29,"I believe their is a Creator","United Methodist Church.   Presbyterian Church.",1,60,40,7,5,"male",NA,5,5,1,"trump",0,74,12,0,-0.679556712795875,1.20399340857385,6,1.05814062362823,0.457497054272482,0.949180269683643,0.689364298108261,0.772911884329506,-1.69154542028001,-0.842477873083562,2.20997675283062,0.396206452544743,-0.835371364035536,1.36633774641474,0.551225912222421,1.18896469715857,-1.64355926310368,-0.741137634931864,0.581496681998496,0.888769797355117,1.04498573041697,1.69803357701703,1.49931562032009,-0.677675270451299
"26",30,"I believe there is a God.","Baptist",1,80,20,7,7,"female",NA,5,5,1,"clinton",0,43,11,1,0.54521256761474,1.20399340857385,4,0.306757379488313,0.457497054272482,0.288686047865413,-0.504374056390921,0.0736249324418559,-0.50413203457014,0.160849651094062,-0.12995971410239,-0.850681371976069,0.277269440719046,0.376760602825648,1.06661935524345,0.247008345466046,-0.716868044735094,-0.741137634931864,-0.232323268416855,0.831142618349937,0.0566354037514411,0.107985709729587,-1.59485399884516,0.626782409288613
"27",31,"There may be one? I'm not sure.","None. Was raised United Methodist",1,50,50,2,2,"female",NA,3,5,1,"clinton",0,33,14,1,-0.495841320734283,0.0197306576788367,3,-0.0689342425816433,NA,NA,0.177762146180041,1.70101094569728,-0.334501550897301,0.349380649666893,0.608967591244875,1.22340715222028,0.722325762620879,0.620599587953076,0.808922633732936,-0.074846464190925,-0.716868044735094,1.30387185925904,1.39531663241385,0.30072135038952,1.04498573041697,0.619359065452468,0.615267157701448,-0.677675270451299
"28",32,"I respect all religions. I belive in every religion there is a god.","Chruch: catholic",1,75,25,6,6,"female",NA,2,4,1,"clinton",1,54,12,1,0.728927959676332,0.442275552491061,6,1.05814062362823,1.18938650026305,-0.556822867808968,1.03043239939374,-0.187789997101505,-0.50413203457014,1.87242688167237,0.485813040353664,2.09608470529768,1.16738208452271,0.841046881152138,0.0358324692013903,0.6704080637013,0.209823173633492,0.0333476418187074,-0.77486990202709,2.52185936215834,0.797898148750585,-0.537992927670522,1.27830350466543,-0.0852318510803894
"29",33,"I believe there is a God","Lutheran",1,75,25,5,5,"female",NA,2,2,1,"clinton",0,50,13,1,0.055304855450494,1.13214365547605,6,1.05814062362823,0.823441777267764,-0.151671413473385,1.54203455132196,-0.187789997101505,-1.52191493660717,0.479158549592999,0.485813040353664,0.0196709849333133,-0.167786881182787,0.620599587953076,2.09740624128551,-1.63690435791901,-1.41188645851153,-0.205266590312902,1.39531663241385,0.30072135038952,0.550810567084204,0.107985709729587,1.27830350466543,0.760501713613999
"31",35,"There is one true, loving God.","Baptist",1,70,30,5,7,"female",NA,6,6,1,"trump",0,44,12,1,0.790166423696863,0.485472331047215,2,-0.444625864651599,0.457497054272482,-0.678132638194292,1.54203455132196,-0.187789997101505,1.36180328583108,-0.0657425099147587,-1.23835067212329,0.198827714183286,-1.28042768593737,-0.794542754918982,-0.994954416840671,1.34182316989198,-0.94854084932724,-0.610173283182143,0.852769998803613,-0.505680438005696,-1.42589008624685,-0.669457453849157,0.836279273356109,0.383761644832993
"32",36,"I believe there is a God. He created this earth, he has answered my many prayers. he works in mysterious ways.","",1,70,30,1,6,"female",NA,4,4,-1,"NA",0,40,9,1,0.055304855450494,0.737261117602066,0,-1.19600910879151,0.640469415770123,-0.556822867808968,0.859898348751001,0.403215345562478,3.39736908990514,-0.337509078326443,-0.745732468558444,-0.545949896507661,-0.612843203084619,0.376760602825648,-0.47956097381964,-0.694948006226479,0.904841587409931,0.105429242738975,1.66658994921896,0.375773431607088,-0.19045217791494,-0.537992927670522,0.394255042046787,1.63582016193724
"33",37,"I believe there is one God who created everything","Catholic",1,70,30,2,5,"female",NA,4,5,1,"trump",0,58,9,1,0.177781783491556,0.0752014768152888,8,1.80952386776814,-0.457364753215723,0.624435788430122,0.348296196822781,1.16676768673521,-1.18265396926149,-1.06896254888285,-0.499423366776022,-0.39761313099884,-2.17054032974103,-0.794542754918982,-0.47956097381964,1.75936756735739,-1.18021365391939,-0.741137634931864,-0.232323268416855,-0.505680438005696,-1.17880250458047,0.180342602155473,1.27830350466543,0.760501713613999
"34",38,"I believe that the dude upstairs has my back and looks out for me","None",1,80,20,1,2,"male",NA,1,3,1,"clinton",0,24,9,0,0.177781783491556,0.821813978518224,2,-0.444625864651599,-1.92114364519685,0.359745216125645,-0.674908107033661,1.01631027599485,0.683281351139727,2.39451565796942,-1.11519612123208,0.928520160378911,-0.167786881182787,0.620599587953076,-1.25265113835119,-0.074846464190925,2.06320561037066,0.0333476418187074,1.12404331560873,0.0522738339502235,1.29207331208335,-1.51925750985379,-0.710805536226518,1.7896592182536
"35",39,"There one god","christian",1,70,30,3,7,"female",NA,4,4,1,"third",0,53,9,1,0.48397410359421,-0.442176899816687,3,-0.0689342425816433,0.0915523312771992,0.528492828122755,-0.674908107033661,0.403215345562478,0.00475941644837506,-1.94694964818465,-0.12995971410239,-0.850681371976069,0.0547412797681295,-0.794542754918982,-1.25265113835119,-0.821146228097169,0.904841587409931,0.598121766510611,0.0389500483882616,-1.38713430761848,-0.437539759581321,0.107985709729587,0.394255042046787,-0.0852318510803894
"36",40,"I can't watch the sunrise in the morning without knowing that there is a God.","Roman Catholic",1,80,20,8,7,"female",NA,6,6,1,"trump",1,56,13,1,0.177781783491556,0.821813978518224,3,-0.0689342425816433,-1.18925419920629,0.0198865090539073,0.348296196822781,0.59580626019957,-0.164871067224464,1.53132947418614,-0.499423366776022,0.830075853983392,-1.50295584688828,0.841046881152138,0.293529190711906,-0.074846464190925,0.904841587409931,0.598121766510611,-1.04614321883221,0.0522738339502235,-0.437539759581321,-0.669457453849157,1.72032773597475,-0.798244727250543
"38",42,"There is a God.  I believe there is one God, but every religion just has a different interpretation of Him.","Catholic",1,90,10,4,2,"female",NA,4,4,1,"trump",0,50,10,1,1.09635874379952,-0.442176899816687,8,1.80952386776814,-0.640337114713365,0.592857190590473,-0.333840005748181,1.01631027599485,0.513650867466888,0.0773640156477791,-2.10043252836176,0.714194199324495,-1.50295584688828,-0.228309055351447,-0.47956097381964,2.24688117483073,0.673168782817784,1.30387185925904,1.12404331560873,-1.38713430761848,-2.41424041291237,0.619359065452468,1.49931562032009,-0.677675270451299
"39",43,"Yes.","Non-denominational church",1,75,25,2,5,"female",NA,6,4,0,"NA",0,25,12,1,1.03512027977899,0.410796138164446,2,-0.444625864651599,-4.29978434466618,-0.499971098647707,1.88310265260744,-1.61460311079585,1.87069473684959,0.727974472094126,-3.45513258816508,1.78931476611765,-1.50295584688828,-0.228309055351447,-0.221864252309125,2.65391103035492,1.83153280577852,1.34488917565898,0.310223365193379,-0.505680438005696,-1.67297766791323,0.88434001916054,-0.931817651881178,2.52181604529469
"40",44,"I don't believe in a god or gods","Atheist. Culturally Jewish",0,85,15,2,1,"male",NA,2,2,1,"clinton",0,59,14,0,-2.39423370537074,-1.41802352659058,8,1.80952386776814,-0.457364753215723,0.835476731361122,-1.01597620831914,-0.0516076553666977,0.852911834812564,0.504662608597454,0.732122142136086,-0.261882971955678,0.277269440719046,-0.228309055351447,-0.994954416840671,-0.304776910191954,1.59986000118637,0.0333476418187074,0.581496681998496,-0.369319049820124,0.550810567084204,-0.669457453849157,-0.0477691892625349,1.08444839167614
"41",45,"There is one God, his son Jesus Christ who is our savior, and the Holy Ghost. They are one in purpose and doctrine etc.","The Church of Jesus Christ of Latter Day Saints",1,75,25,7,7,"female",NA,6,7,1,"trump",0,42,13,1,1.15759720782005,-0.808416971672239,1,-0.820317486721556,-0.823309476211005,0.288686047865413,-1.01597620831914,0.686063905455394,-0.334501550897301,-0.53059168751239,1.34789489659214,0.419747481878442,0.499797601669962,0.0238251489241735,0.808922633732936,-0.821146228097169,-0.716868044735094,0.0333476418187074,0.310223365193379,-0.505680438005696,2.03333605708249,-0.669457453849157,0.173242926392126,0.626782409288613
"43",47,"God exists.","CATHOLIC",1,75,25,4,5,"female",NA,4,4,1,"non",1,61,13,1,0.54521256761474,0.485472331047215,4,0.306757379488313,-1.37222656070393,-0.197183890641057,-0.16330595510544,-0.187789997101505,-0.50413203457014,-1.35788560950937,-1.23835067212329,-0.901084904194695,0.722325762620879,0.0999909204650784,0.0358324692013903,0.6704080637013,0.209823173633492,0.0333476418187074,0.0389500483882616,-1.38713430761848,-0.19045217791494,-0.537992927670522,-0.0477691892625349,0.383761644832993
"44",49,"","Catholic",1,80,20,5,5,"female",NA,4,4,1,"clinton",0,53,12,1,0.116543319471025,-0.152080437571586,3,-0.0689342425816433,1.0064141387654,0.139326931776077,-0.333840005748181,0.403215345562478,0.683281351139727,-0.842477873083562,-0.868887019449655,-0.850681371976069,1.16738208452271,0.376760602825648,0.551225912222421,0.469374076303181,0.209823173633492,0.542775408996944,-0.503596585221973,-0.369319049820124,-2.16715283124599,0.674916799820921,0.394255042046787,0.760501713613999
"45",50,"I believe in god","lutheran",1,60,40,4,3,"male",NA,6,7,1,"trump",0,51,12,0,0.300258711532617,-0.0212394355633018,6,1.05814062362823,0.274524692774841,-1.94912246697906,1.03043239939374,-0.187789997101505,0.344020383794051,-0.953594671943097,-0.00680516321117864,-0.39761313099884,0.499797601669962,0.0238251489241735,1.839709519775,-0.821146228097169,-0.716868044735094,-0.741137634931864,-0.77486990202709,0.30072135038952,-0.931714922914084,-0.669457453849157,-0.0477691892625349,-0.0852318510803894
"46",51,"I believe that a god certainly exists and is benevolent, but I cannot describe him/her/it.","I call myself agnostic. I don't go to any church.",1,95,5,1,2,"female",NA,3,4,1,"third",1,28,12,1,0.54521256761474,0.359269721665031,9,2.18521548983809,1.37235886176069,0.528492828122755,0.177762146180041,0.686063905455394,0.00475941644837506,0.630062947822555,2.33313130372183,1.17616057308607,-2.17054032974103,-0.794542754918982,-0.737257695330156,0.810370031546504,1.36818719659422,0.806748207113188,-0.232323268416855,-0.505680438005696,1.53916089374973,-0.669457453849157,1.49931562032009,-0.677675270451299
"48",54,"Live a good life and you will see god.","Catholic",1,50,50,2,2,"male",NA,2,2,1,"clinton",0,71,11,0,0.54521256761474,-0.0894168424860648,3,-0.0689342425816433,0.823441777267764,2.41687097203537,1.37150050067922,-0.0516076553666977,-1.01302348558865,0.242681614237603,NA,NA,0.722325762620879,0.620599587953076,1.32431607675397,-0.074846464190925,-0.253522435550801,0.951996120409814,0.0389500483882616,1.10599372640681,-1.17880250458047,0.180342602155473,0.615267157701448,-0.677675270451299
"49",55,"Well, I believe in the God of the Bible, create of heaven and earth, Sovereign. That means He does as He pleases, in His righteousness, justice, and love.","GraceTruth Church.",1,97,3,8,7,"female",NA,7,4,0,"NA",0,19,9,1,0.912643351737925,1.32520597054196,6,1.05814062362823,1.18938650026305,1.98889548508687,1.03043239939374,1.16676768673521,0.513650867466888,0.847567070376467,0.485813040353664,1.74920451248892,1.16738208452271,3.1557408584038,0.0358324692013903,1.88757358340997,2.7582240241471,0.105429242738975,-0.77486990202709,1.25722730121987,1.04498573041697,1.69803357701703,1.72032773597475,-0.798244727250543
"50",56,"There are no gods","no groups",0,85,15,1,1,"male",NA,1,5,1,"third",1,29,12,0,-2.27175677732968,-0.503613694213067,7,1.43383224569818,2.47019303074653,-1.05039694022622,-1.52757836024736,-0.509398425298141,-1.01302348558865,-0.184119225304063,1.84051310015698,0.928520160378911,0.499797601669962,1.99918039897742,0.808922633732936,0.416041915207983,-1.87523206769583,-0.610173283182143,1.12404331560873,-1.38713430761848,2.28042363874887,-1.51925750985379,-1.15282976753584,0.434715054460004
"53",59,"There is one true God that created everything.","Catholic church",1,80,20,7,5,"male",NA,7,7,1,"trump",1,30,11,0,1.03512027977899,-0.198810416753896,5,0.682449001558269,0.457497054272482,0.0198865090539073,1.37150050067922,-0.0516076553666977,0.344020383794051,1.14544281216057,-0.376268815884812,-0.229574676828596,-1.50295584688828,-1.68907643030304,1.06661935524345,-0.304776910191954,-1.18021365391939,-0.741137634931864,-1.31741653563732,0.30072135038952,-1.67297766791323,-1.51925750985379,-0.268781304917196,-0.0188715068182718
"54",60,"I don't believe in the existence of a god","atheist, agnostic",0,70,30,1,1,"male",NA,2,2,0,"NA",0,23,10,0,-1.53689520908331,-0.671411024887646,8,1.80952386776814,0.274524692774841,1.24103668464775,-1.6981124108901,-1.61460311079585,-0.334501550897301,-0.0657425099147587,0.362658489462454,0.419747481878442,-1.50295584688828,-0.228309055351447,0.0358324692013903,-1.63690435791901,0.904841587409931,0.105429242738975,0.0389500483882616,-1.38713430761848,-1.17880250458047,1.42453623669601,1.05729138901077,-1.57761794768281
"56",62,"I believe in a god.","I was raised Roman Catholic, but I don't go to church any longer.",1,75,25,2,4,"female",NA,3,4,1,"clinton",1,48,13,1,0.606451031635271,-0.960818610401825,6,1.05814062362823,0.640469415770123,-1.05039694022622,0.00722809553729986,-0.0516076553666977,-1.52191493660717,-1.49199553415039,1.71735854926577,-0.0181018505268435,-0.835371364035536,-0.794542754918982,0.293529190711906,1.98074765482143,-1.18021365391939,-0.741137634931864,-0.503596585221973,0.888769797355117,1.04498573041697,-0.669457453849157,0.394255042046787,-0.0852318510803894
"58",64,"I believe in God","Non denominational Christian",1,60,40,6,7,"female",NA,6,6,1,"third",0,30,9,1,0.790166423696863,-0.808416971672239,2,-0.444625864651599,0.274524692774841,1.41360053887799,-0.504374056390921,1.76185297567956,0.174389900121212,0.349380649666893,-0.12995971410239,0.76933062201159,1.61243840642454,1.73672672815139,1.839709519775,-0.821146228097169,-0.485195240142947,0.806748207113188,1.66658994921896,-0.369319049820124,0.0566354037514411,-0.669457453849157,0.394255042046787,-0.0852318510803894
"60",66,"I believe a single God exists.","Seventh Day Adventist",1,70,30,7,7,"male",NA,4,3,1,"non",1,53,13,0,0.790166423696863,1.37554465546398,8,1.80952386776814,0.823441777267764,0.835476731361122,1.88310265260744,-1.61460311079585,-0.673762518242978,-1.06896254888285,0.608967591244875,0.928520160378911,-0.612843203084619,1.8890582712332,1.58201279826448,-0.694948006226479,-0.94854084932724,0.598121766510611,1.66658994921896,-0.369319049820124,2.03333605708249,-0.669457453849157,1.05729138901077,0.626782409288613
"61",67,"That God does exist and that he gave his only son so that my sins would be washed away.","None at the moment",1,84,16,1,6,"female",NA,4,5,-1,"NA",0,39,12,1,0.48397410359421,1.55673778563658,0,-1.19600910879151,2.10424830775125,-0.151671413473385,0.859898348751001,1.01631027599485,1.53143376950392,1.3204232211644,-0.253114264993601,-0.351128595005705,-2.39306849069195,-1.68907643030304,1.32431607675397,-0.074846464190925,0.209823173633492,0.0333476418187074,0.310223365193379,0.30072135038952,0.550810567084204,1.38336226840926,0.394255042046787,0.383761644832993
"62",68,"I believe there is a spirit.","None",1,65,35,1,5,"female",NA,2,2,1,"clinton",0,57,13,1,-0.557079784754814,1.03937905881142,2,-0.444625864651599,-0.0914200302204411,-0.197183890641057,-0.504374056390921,1.76185297567956,0.683281351139727,0.105382532160072,-0.622577917667233,0.541621257466635,-1.50295584688828,-0.228309055351447,1.58201279826448,-0.694948006226479,-0.0218496309586545,0.598121766510611,0.852769998803613,-0.505680438005696,-0.684627341247703,1.25617785094609,1.27830350466543,-0.798244727250543
"64",70,"He's our creator and died for us and our sins.","Catholic",1,70,30,5,3,"female",NA,4,4,1,"clinton",0,56,9,1,0.667689495655802,0.105992860705275,1,-0.820317486721556,0.0915523312771992,-0.291954477218709,0.518830247465521,-0.509398425298141,-0.164871067224464,-0.337509078326443,-0.376268815884812,-1.35611658761408,0.277269440719046,-0.228309055351447,-0.47956097381964,0.469374076303181,-0.716868044735094,0.0333476418187074,-1.04614321883221,2.93109011708763,-1.17880250458047,-0.537992927670522,-0.489793420571857,2.31924815447854
