"","a","b_ment","b_sec","b_cred","b_ref","sigma"
"1",0.0132584605271744,0.0231421996169805,-0.0288728489582414,0.373286448652564,0.18564023319713,0.86899806249405
"2",-0.0150773809171273,0.0280937721012916,-0.00374325695408754,0.351456180913539,0.176531051922691,0.894997915451177
"3",-0.0207973310233216,0.0387913776115129,-0.062801424630072,0.424791264715783,0.232763815957766,0.902881475157697
"4",0.0326634247631998,-0.0212223260067514,-0.0822584811401225,0.348712323941914,0.265860176820634,0.913760571908098
"5",-0.0128861594688788,0.0391747114322806,-0.0208644613154728,0.355486021450362,0.235987901132813,0.908840383359162
"6",-0.0232016739539226,-0.00503056044043612,-0.073709529416686,0.39361057374438,0.216840056108617,0.877992087624658
"7",-0.0381642772690144,0.0417310759523432,-0.0139791190752211,0.368442744339569,0.197999031583724,0.899114974725019
"8",0.0398096841506651,0.016506653933521,-0.0336155754580841,0.3602065280206,0.146697384987146,0.912539964611003
"9",-0.0385200344160461,0.043410117983417,-0.0242058316370397,0.366378928475731,0.2218029385775,0.902333813949537
"10",0.00650588160016709,0.0641523839451671,-0.0424506318014898,0.333953470636778,0.210735106432624,0.884230006532185
"11",0.0179081027304929,0.0352672821070561,-0.0425353475583287,0.401384198205038,0.240319624090515,0.909344155761197
"12",0.0158996308245656,0.0223514360078999,-0.0447507892368963,0.372378168146878,0.213073328058633,0.905821566698117
"13",0.0107515016736224,0.0282363242234369,0.0120259260136327,0.371174521147492,0.2269961459796,0.894416608598124
"14",-0.0235211657977897,0.0274659816421288,-0.0445057375910051,0.389503948545678,0.208348478600196,0.89811180893168
"15",-0.0543650008676677,0.0579133945051163,0.0447612309006679,0.380027326215461,0.205795954468703,0.932897139099968
"16",0.029071668244576,0.0472517182104796,-0.016151374242675,0.335268292336025,0.22676382763539,0.871030048161954
"17",-0.0518166040715065,0.00128535178556574,-0.0210431603833884,0.354763116622551,0.223756481727072,0.906625068896964
"18",-0.0498546886218049,0.0460797611723102,-0.0346672645097854,0.37041755125483,0.200674197925479,0.923873769743854
"19",0.0216510766643842,0.0382705732785787,-0.0365409608100692,0.341539851544683,0.190431224752899,0.909578327515256
"20",-0.000735897853725196,0.0392831377945689,-0.0184840229493951,0.373945242528024,0.182569375597439,0.898731888130762
"21",-0.0392969964864364,-0.00994868612003931,-0.0210710645277985,0.423703195594383,0.214202456348879,0.907430720004167
"22",0.0118365718653563,0.0320452897089967,0.00493032894693022,0.376498800386501,0.241799802581853,0.891172918769682
"23",-0.0204607049244157,0.0372134366579407,-0.0755340425776375,0.351170877260328,0.193307186423534,0.862565015752103
"24",-0.0320283217131872,0.0637138191318568,-0.0402824015422898,0.343706548879015,0.218019104264856,0.879296559911503
"25",-0.0156983115566349,0.0237555017513031,-0.00877517301022671,0.425455785695703,0.237277364000643,0.868755706692249
"26",0.00233072464966698,0.0269840307834916,-0.0806910405721059,0.369882188986802,0.256533477629458,0.917565735138955
